"","RelACnc","Relative Arbitrary Concentration"
"","AFr","Arbitrary Fraction"
"Other properties","Accel","Acceleration"
"","Addr","Address"
"","Anat","Anatomy"
"","Angle","Angle"
"","Aper","Appearance"
"","Arb","*Arbitrary"
"","Area","Area"
"","ArArea","Area/Area"
"","AreaFr","Area Fraction"
"","AreaRto","Area Ratio"
"","AUC","Area under the curve"
"","Bib","Bibliographic Citation"
"","Circ","Circumference"
"","CircFr","Circumference Fraction"
"","Class","*Class"
"","ColorRto","Color Ratio"
"","Compli","Compliance"
"","CompliRto","Compliance Ratio"
"","Cmplx","Complex"
"","Desc","Description"
"","Diam","Diameter"
"","Dosage","Dosage"
"","Elcur","Electrical current"
"","Elpot","Electrical Potential (Voltage)"
"","ElpotRat","Voltage Rate (=Amperage)"
"","ElpotRto","Electrical Potential Ratio"
"","EmailAddr","E-mail Address"
"","ArEnrg","Energy/Area"
"","EngCnc","Energy Concentration"
"","EngCnt","Energy Content"
"","EngDiff","Energy Difference"
"","EngFr","Energy Fraction"
"","EngRat","Power = Energy/Time"
"","RelEngRat","Relative Power"
"","EngRatFr","Energy Rate Fraction"
"","EngRto","Energy Ratio"
"","Enrg","Energy"
"","Equ","Equation"
"","ExtendedID","Extended ID"
"","Fcn","Function"
"","Find","Finding"
"","FldConduct","Fluid Conductance"
"","FldResist","Fluid Resistance"
"","Force","Mechanical Force"
"","Freq","Frequency"
"","Geno","Genotype"
"","Hx","History"
"","Imp","Impression/interpretation of study"
"","ID","Identifier"
"","Instrct","Instructions"
"","InvLen","Inverse Length"
"","Inverse VI","Inverse Inspired Volume"
"","Len","Length"
"","LenFr","Length Fraction"
"","LRat","Length Rate"
"","LenRto","Length Ratio"
"","LogLenRto","Log Length Ratio"
"","ArLen","Length/Area"
"","Likelihood","Likelihood"
"","Loc","Location"
"","LogInvPct","Log Inverse Percent"
"","LogRtoElp","Log Ratio Electrical Potential"
"","MoM","Multiple of the Median"
"","Morph","Morphology"
"","NumRange","Number Range"
"","OD","Optical Density"
"","Osmol","*Osmolality"
"","Osmolarity","Osmolarity"
"","PctDiff","Percent Difference"
"","Pn","Person Name"
"","PrThr","Presence or Threshold"
"","Prctl","Percentile"
"","Prid","Presence or Identity"
"","PPres","*Pressure (partial)"
"","PPresDiff","Difference in Partial Pressure"
"","PPresRto","Partial Pressure Ratio"
"","Pres","Pressure"
"","PresRat","Pressure Rate"
"","PressDiff","Difference"
"","PresRto","Pressure Ratio"
"","Quintile","Quintile"
"","Ratio","Ratio"
"","Range","Range"
"","RatDiff","Rate Difference"
"","Rden","Relative Density"
"","RelFldResist","Relative Fluid Resistance"
"","RelRto","Relative Ratio"
"","RelSoundInt","Relative Sound Intensity"
"","Resis","Resistance"
"","ArResis","Resistance/Area"
"","SatFr","*Saturation Fraction"
"","Score","Score"
"","ScoreDiff","Score Difference"
"","ScoreRange","Score Range"
"","Seq","Nucleotide Sequence"
"","Shape","Shape"
"","Susc","Susceptibility"
"","Temp","*Temperature"
"","TempDiff","Temperature Difference"
"","Tele","Telephone Number"
"","Tscore","T Score"
"","TscoreDiff","T Score Difference"
"","Txt","Text"
"","Threshold","*Threshold"
"","ThreshNum","Threshold Number"
"","Titr","Dilution Factor (Titer)"
"","Type","Type"
"","URI","Uniform Resource Identifier"
"","VCF","Variant Call File"
"","Vel","*Velocity"
"","VelRat","Velocity Rate"
"","VelRto","*Velocity Ratio"
"","Visc","Viscosity"
"","Zscore","Z Score"
